Age at smoking initiation in chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0005670	HIGH
Age at smoking initiation in chronic obstructive pulmonary disease	 http://www.ebi.ac.uk/efo/EFO_0000341	HIGH
Airway responsiveness in chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0006897	HIGH
Airway responsiveness in chronic obstructive pulmonary disease	 http://www.ebi.ac.uk/efo/EFO_0000341	HIGH
Asthma or chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	HIGH
Asthma or chronic obstructive pulmonary disease	 http://www.ebi.ac.uk/efo/EFO_0000270	HIGH
Body mass in chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0004340	HIGH
Body mass in chronic obstructive pulmonary disease	 http://www.ebi.ac.uk/efo/EFO_0000341	HIGH
Chronic obstructive pulmonary disease	  http://www.ebi.ac.uk/efo/EFO_0000341	  HIGH
Crohns disease and sarcoidosis (combined)	http://www.ebi.ac.uk/efo/EFO_0000384	HIGH
Crohns disease and sarcoidosis (combined)	 http://www.orpha.net/ORDO/Orphanet_797	HIGH
Cystic fibrosis severity	http://www.orpha.net/ORDO/Orphanet_586	HIGH
Gene methylation in lung tissue		
Idiopathic pulmonary fibrosis	  http://www.ebi.ac.uk/efo/EFO_0000768	  HIGH
Interstitial lung disease	http://www.ebi.ac.uk/efo/EFO_0004244	HIGH
Lung Cancer (DNA repair capacity)		
Lung adenocarcinoma	  http://www.ebi.ac.uk/efo/EFO_0000571	  HIGH
Lung cancer	  http://www.ebi.ac.uk/efo/EFO_0001071	  HIGH
Non-small cell lung cancer	  http://www.ebi.ac.uk/efo/EFO_0003060	  HIGH
Pneumoconiosis in silica exposure		
Pulmonary Emphysema	 http://www.ebi.ac.uk/efo/EFO_0000464	HIGH
Pulmonary function		
Sarcoidosis		
Sepsis from pneumonia (survival)		
Squamous cell carcinoma	  http://www.ebi.ac.uk/efo/EFO_0000707	  HIGH
YKL-40 levels	 http://www.ebi.ac.uk/efo/EFO_0004869	HIGH
Chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0006505	HIGH
